case_id,case_type,execution_status,engine_top1,gold_preferred,top1_match,top3_match,pairwise_correct,pairwise_total,regret,kendall_tau,acceptable_recall,not_acceptable_exclusion,dimension_agreement,dimension_detail
OR-01,outfit_ranking,success,D,A,false,true,8,10,13,0.6,0,1,,
OR-02,outfit_ranking,success,A,A,true,true,6,6,0,1,0,1,,
OR-03,outfit_ranking,success,B,A,false,true,4,6,13,0.3333333333333333,0.3333333333333333,1,,
OR-04,outfit_ranking,success,C,A,false,true,4,6,11,0.3333333333333333,0,1,,
OR-05,outfit_ranking,success,A,A,true,true,3,6,0,0,0,1,,
OR-06,outfit_ranking,success,B,B,true,true,5,6,0,0.6666666666666666,0.3333333333333333,1,,
OR-07,outfit_ranking,success,C,A,false,true,3,6,13,0,0,1,,
OR-08,outfit_ranking,success,A,A,true,true,5,6,0,0.6666666666666666,0,1,,
OR-09,outfit_ranking,success,A,A,true,true,5,6,0,0.6666666666666666,0.3333333333333333,1,,
OR-10,outfit_ranking,success,C,A,false,true,3,6,14,0,0,1,,
OR-11,outfit_ranking,success,A,A,true,true,5,6,0,0.6666666666666666,0,1,,
OR-12,outfit_ranking,success,D,B,false,true,3,6,23,0,0,1,,
OR-13,outfit_ranking,success,B,A,false,true,1,3,5,-0.3333333333333333,0.5,1,,
OR-14,outfit_ranking,success,C,C,true,true,2,3,0,0.3333333333333333,0.6666666666666666,1,,
OR-15,outfit_ranking,success,A,A,true,true,3,3,0,1,0.3333333333333333,1,,
OR-16,outfit_ranking,success,A,A,true,true,1,1,0,,0.5,1,,
OR-17,outfit_ranking,success,C,A,false,true,0,3,14,-1,0.3333333333333333,1,,
OR-18,outfit_ranking,success,B,C,false,true,1,3,5,-0.3333333333333333,0.5,1,,
OR-19,outfit_ranking,success,B,B,true,true,3,3,0,1,0,1,,
OR-20,outfit_ranking,success,A,A,true,true,3,3,0,1,0,1,,
OR-21,outfit_ranking,success,C,C,true,true,5,6,0,0.6666666666666666,0,1,,
OR-22,outfit_ranking,success,C,D,false,true,3,6,14,0,0,1,,
OR-23,outfit_ranking,success,A,A,true,true,6,6,0,1,0,1,,
OR-24,outfit_ranking,success,A,A,true,true,5,6,0,0.6666666666666666,0,1,,
OR-25,outfit_ranking,success,B,A,false,false,1,6,22,-0.6666666666666666,0,1,,
OR-26,outfit_ranking,success,D,D,true,true,4,6,0,0.3333333333333333,0,1,,
OR-27,outfit_ranking,success,A,A,true,true,3,6,0,0,0,1,,
OR-28,outfit_ranking,success,D,A,false,true,3,6,14,0,0,1,,
OR-29,outfit_ranking,success,D,C,false,true,2,6,21,-0.3333333333333333,0,1,,
OR-30,outfit_ranking,success,C,A,false,true,3,6,12,0,0,1,,
